# a  alpha_K  alpha_B  alpha_M  alpha_T
1.425680550454342397e-03 2.028437829999999859e-18 5.155622629999999814e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.454539388435524116e-03 2.157488390000000189e-18 5.483626759999999966e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.483982391312101872e-03 2.294715960000000159e-18 5.832414180000000446e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.514021383836868049e-03 2.440655060000000147e-18 6.203343429999999539e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.544668430121022258e-03 2.595849449999999980e-18 6.597796569999999816e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.575935838479300627e-03 2.760895339999999841e-18 7.017289009999999881e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.607836166373174426e-03 2.936418140000000064e-18 7.463410320000000462e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.640382225454124028e-03 3.123094029999999863e-18 7.937879100000000028e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.673587086708985512e-03 3.321620749999999991e-18 8.442468799999999814e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.707465793174395979e-03 3.532775610000000119e-18 8.979155109999999111e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.742028569995561667e-03 3.757363509999999731e-18 9.549983759999999760e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.777290971691418680e-03 3.996226769999999779e-18 1.015709570000000077e-18 0.000000000000000000e+00 0.000000000000000000e+00
1.813267160172854064e-03 4.250318299999999796e-18 1.080291289999999914e-18 0.000000000000000000e+00 0.000000000000000000e+00
1.849971584018258617e-03 4.520581179999999971e-18 1.148983240000000019e-18 0.000000000000000000e+00 0.000000000000000000e+00
1.887418984276303339e-03 4.808096700000000086e-18 1.222060240000000096e-18 0.000000000000000000e+00 0.000000000000000000e+00
1.925624400386159252e-03 5.113935909999999808e-18 1.299794519999999965e-18 0.000000000000000000e+00 0.000000000000000000e+00
1.964603176217564508e-03 5.439288720000000068e-18 1.382488510000000071e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.004370966233155228e-03 5.785444509999999779e-18 1.470469949999999989e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.044943741775526007e-03 6.153719370000000270e-18 1.564073319999999964e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.086337797481570538e-03 6.545555290000000263e-18 1.663665139999999961e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.128569757826648083e-03 6.962491129999999584e-18 1.769636530000000145e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.171656583801223183e-03 7.406144200000000358e-18 1.882398570000000034e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.215617795339342149e-03 7.878236509999999975e-18 2.002388919999999947e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.260466660650401610e-03 8.380686210000000248e-18 2.130095130000000141e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.306223363370926271e-03 8.915400990000000734e-18 2.266002069999999890e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.352906280080933367e-03 9.484497580000000195e-18 2.410647719999999853e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.400534159341909200e-03 1.009026930000000035e-17 2.564614989999999928e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.449126129226511257e-03 1.073509910000000012e-17 2.728509549999999963e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.498701705000693114e-03 1.142156370000000030e-17 2.902986289999999982e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.549280796961329518e-03 1.215237449999999949e-17 3.088734390000000172e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.600883718432482356e-03 1.293050560000000068e-17 3.286509769999999829e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.653531193923549733e-03 1.375900590000000025e-17 3.497087329999999988e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.707244367452533388e-03 1.464125990000000144e-17 3.721327309999999877e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.762044811037796341e-03 1.558084049999999904e-17 3.960137829999999757e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.817957351317650593e-03 1.658151150000000049e-17 4.214475520000000364e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.874998863607092659e-03 1.764734200000000114e-17 4.485374630000000228e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.933195018681577972e-03 1.878274020000000077e-17 4.773955559999999651e-18 0.000000000000000000e+00 0.000000000000000000e+00
2.992569188992286709e-03 1.999229950000000055e-17 5.081385789999999744e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.053145220099032480e-03 2.128098600000000014e-17 5.408927570000000199e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.114947440247001903e-03 2.265410790000000058e-17 5.757930050000000198e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.178000670137345624e-03 2.411741489999999923e-17 6.129854629999999970e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.242330232895533453e-03 2.567690610000000143e-17 6.526226049999999826e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.307961964241521585e-03 2.733906729999999847e-17 6.948692819999999911e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.374922222865751713e-03 2.911092359999999710e-17 7.399040499999999945e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.443237901015203887e-03 3.099990699999999909e-17 7.879158020000000663e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.512936435293724166e-03 3.301386510000000174e-17 8.391040019999999770e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.584045817680983799e-03 3.516149629999999748e-17 8.936897319999999969e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.656598263370898494e-03 3.745191360000000098e-17 9.519046150000000466e-18 0.000000000000000000e+00 0.000000000000000000e+00
3.730615669872840417e-03 3.989486700000000094e-17 1.013996470000000041e-17 0.000000000000000000e+00 0.000000000000000000e+00
3.806131347738129448e-03 4.250091630000000276e-17 1.080233679999999950e-17 0.000000000000000000e+00 0.000000000000000000e+00
